source,target,end,ConnectionType,stake,canal,id,delaytime,pool_Width,pool_Length,pool_m,pool_hTarget,pool_h_ic,max_h,min_h,type,maxFlow,minFlow,Flow_ic,seepageC,forceFlow,forceStage,upstream_elevation,mile_stage,gate_bottom_elevation,pool_slope,pool_manning,level1
横排头枢纽,罗管节制闸,,indirect,0,,0,30,60,45000,0,2.6,2.6,15,0,0,300,0,0,1,,,1039.48,0,47.5,0.00015,0.025,
罗管节制闸,将军岭节制闸,,indirect,148633,总干渠,1,30,60,65000,0,2,2,15,0,4,172.1,0,0,1,,,1037.38,15000,45.24,0.00015,0.025,
将军岭节制闸,南淝河节制闸,,indirect,19801,总干渠,2,30,60,5000,0,2,2,15,0,4,30.5,0,0,1,,,1034,29200,43.7959,0.00015,0.015,
淠东进水闸,木厂节制闸,,indirect,19804,总干渠,3,30,20,5000,0,2,2,15,0,4,29.5,0,0,1,,,1031.37,49400,43.235,0.00015,0.015,
木北进水闸,十字路节制闸,,indirect,19804,总干渠,3,30,20,5000,0,2,2,15,0,4,29.5,0,0,1,,,1031.37,49400,43.235,0.00015,0.015,
二十里铺节制闸,檀树堰节制闸,,indirect,19804,总干渠,3,30,20,5000,0,2,2,15,0,4,29.5,0,0,1,,,1031.37,49400,43.235,0.00015,0.015,
瓦东进水闸,王岗节制闸,,indirect,19804,总干渠,3,30,20,5000,0,2,2,15,0,4,29.5,0,0,1,,,1031.37,49400,43.235,0.00015,0.015,
王岗节制闸,沙井冲节制闸,,indirect,19804,总干渠,3,30,20,5000,0,2,2,15,0,4,29.5,0,0,1,,,1031.37,49400,43.235,0.00015,0.015,
沙井冲节制闸,邹岗节制闸,,indirect,19804,总干渠,3,30,20,5000,0,2,2,15,0,4,29.5,0,0,1,,,1031.37,49400,43.235,0.00015,0.015,
南淝河节制闸,三十里铺节制闸,,indirect,19804,总干渠,3,30,20,5000,0,2,2,15,0,4,29.5,0,0,1,,,1031.37,49400,43.235,0.00015,0.015,
横排头枢纽,平塘沟集水区,罗管节制闸,direct,18800,总干渠,5,,,,,,,,,5,300,0,0,1,,,1036.57,10400,4.14,0.00015,0.015,
三十里铺节制闸,-1,,indirect,19804,总干渠,3,30,20,5000,0,2,2,15,0,4,29.5,0,0,1,,,1031.37,49400,43.235,0.00015,0.015,
横排头枢纽,罗管上游防洪单元坡面散流1,罗管节制闸,direct,19804,总干渠,6,,,,,,,,,5,300,0,0,1,,,1034.95,20100,2.98,0.00015,0.015,
横排头枢纽,马堰河旁无名河集水区,罗管节制闸,direct,18800,总干渠,7,,,,,,,,,5,300,0,0,,,,,,,,,
横排头枢纽,戚家桥泄水闸,罗管节制闸,direct,18800,总干渠,7,,,,,,,,,3,77,0,0,,,,,,,,,
横排头枢纽,马堰河集水区,罗管节制闸,direct,18800,总干渠,8,,,,,,,,,5,300,0,0,,,,,,,,,
横排头枢纽,罗管上游防洪单元坡面散流2,罗管节制闸,direct,124881,总干渠,9,,,,,,,,,5,300,0,0,,,,,,,,,
横排头枢纽,罗管上游防洪单元坡面散流3,罗管节制闸,direct,148633,总干渠,10,,,,,,,,,5,300,0,0,,,,,,,,,
横排头枢纽,淠东进水闸,罗管节制闸,direct,148633,总干渠,11,,,,,,,,,2,56.8,0,0,,,,,,43.69,,,
横排头枢纽,二十里铺节制闸,罗管节制闸,direct,148633,总干渠,11,,,,,,,,,2,16.6,0,0,,,,,,,,,
横排头枢纽,罗管上游防洪单元坡面散流4,罗管节制闸,direct,148633,总干渠,12,,,,,,,,,5,300,0,0,,,,,,,,,
横排头枢纽,皋堰泄水闸,罗管节制闸,direct,19800,总干渠,13,,,,,,,,,3,80,0,0,,,,,,,,,
横排头枢纽,瓦西进水闸,罗管节制闸,direct,19802,总干渠,14,,,,,,,,,2,27.4,0,0,,,,,,47,,,
横排头枢纽,山源河西支集水区,罗管节制闸,direct,19802,总干渠,14,,,,,,,,,5,300,0,0,,,,,,,,,
横排头枢纽,山源河东支集水区,罗管节制闸,direct,19802,总干渠,14,,,,,,,,,5,300,0,0,,,,,,,,,
横排头枢纽,淠河总干上游动态边界,罗管节制闸,direct,19802,总干渠,14,,,,,,,,,2,16.6,0,0,,,,,,,,,
罗管节制闸,罗管下游防洪单元坡面散流1,将军岭节制闸,direct,19803,总干渠,15,,,,,,,,,5,300,0,0,,,,,,,,,
罗管节制闸,青龙堰泄水闸,将军岭节制闸,direct,19803,总干渠,16,,,,,,,,,3,150,0,0,,,,,,,,,
罗管节制闸,罗管下游防洪单元坡面散流2,将军岭节制闸,direct,19803,总干渠,17,,,,,,,,,5,300,0,0,,,,,,,,,
罗管节制闸,罗管下游防洪单元坡面散流3,将军岭节制闸,direct,19803,总干渠,18,,,,,,,,,5,300,0,0,,,,,,,,,
罗管节制闸,红旗沟泄水闸,将军岭节制闸,direct,19803,总干渠,18,,,,,,,,,3,158,0,0,,,,,,,,,
罗管节制闸,罗管下游防洪单元坡面散流4,将军岭节制闸,direct,19803,总干渠,19,,,,,,,,,5,300,0,0,,,,,,,,,
罗管节制闸,官亭进水闸,将军岭节制闸,direct,19803,总干渠,20,,,,,,,,,2,27,0,0,,,,,,43.5612,,,
罗管节制闸,罗管下游防洪单元坡面散流5,将军岭节制闸,direct,19803,总干渠,21,,,,,,,,,5,300,0,0,,,,,,,,,
罗管节制闸,新民坝泄水闸,将军岭节制闸,direct,19806,总干渠,22,,,,,,,,,3,150,0,0,,,,,,,,,
罗管节制闸,瓦东进水闸,将军岭节制闸,direct,18800,总干渠,23,,,,,,,,,2,64.5,0,0,,,,,,43.0379,,,
罗管节制闸,滁河干渠坡面散流,将军岭节制闸,direct,18800,总干渠,24,,,,,,,,,5,300,0,0,,,,,,,,,
罗管节制闸,大蜀山进水闸,将军岭节制闸,direct,18800,总干渠,25,,,,,,,,,2,12.4,0,0,,,,,,,,,
罗管节制闸,淠河总干下游动态边界和小蜀山进水闸,将军岭节制闸,direct,18800,总干渠,25,,,,,,,,,2,34.995,0,0,,,,,,,,,
横排头枢纽,leakage0,罗管节制闸,direct,18800,总干渠,25,,,,,,,,,6,999,0,0,,,,,,,,,
罗管节制闸,leakage1,将军岭节制闸,direct,18800,总干渠,25,,,,,,,,,6,999,0,0,,,,,,,,,
将军岭节制闸,leakage2,南淝河节制闸,direct,18800,总干渠,25,,,,,,,,,6,999,0,0,,,,,,,,,
横排头枢纽,inflow0,罗管节制闸,direct,18800,总干渠,25,,,,,,,,,1,999,0,0,,,,,,,,,
罗管节制闸,inflow1,将军岭节制闸,direct,18800,总干渠,25,,,,,,,,,1,999,0,0,,,,,,,,,
将军岭节制闸,inflow2,南淝河节制闸,direct,18800,总干渠,25,,,,,,,,,1,999,0,0,,,,,,,,,
淠东进水闸,木北进水闸,木厂节制闸,direct,18800,总干渠,25,,,,,,,,,2,999,0,0,,,,,,,,,
木北进水闸,木北分干渠动态边界,十字路节制闸,direct,18800,总干渠,25,,,,,,,,,2,999,0,0,,,,,,,,,
淠东进水闸,淠东干渠动态边界,木厂节制闸,direct,18800,总干渠,25,,,,,,,,,2,999,0,0,,,,,,,,,
二十里铺节制闸,淠杭干渠动态边界,檀树堰节制闸,direct,18800,总干渠,25,,,,,,,,,2,999,0,0,,,,,,,,,
瓦东进水闸,瓦东干渠动态边界,王岗节制闸,direct,18800,总干渠,25,,,,,,,,,2,999,0,0,,,,,,,,,
王岗节制闸,瓦东王岗下游动态边界,沙井冲节制闸,direct,18800,总干渠,25,,,,,,,,,2,999,0,0,,,,,,,,,
沙井冲节制闸,瓦东沙井冲下游动态边界,,direct,18800,总干渠,25,,,,,,,,,2,999,0,0,,,,,,,,,
将军岭节制闸,南淝河进水闸,南淝河节制闸,direct,18800,总干渠,25,,,,,,,,,2,999,0,0,,,,,,,,,
