source,target,end,ConnectionType,stake,canal,id,delaytime,pool_Width,pool_Length,pool_m,pool_hTarget,pool_h_ic,max_h,min_h,type,maxFlow,minFlow,Flow_ic,seepageC,pool_manning,pool_slope,area
黄壁庄,杜童,,indirect,0,总干渠,0,30,16,12913,2.5,2,2,3,1,0,125,0,0,0.995,0.008,0.0004,
杜童,田庄,,indirect,12913,总干渠,1,30,16,5887,2.5,1.7,1.7,3,1,4,125,0,0,0.995,0.008,0.0004,
田庄,赵陵铺,,indirect,18800,总干渠,2,30,16,3900,2.5,1.5,1.5,3,1,4,125,0,0,0.995,0.008,0.0004,
赵陵铺,赵陵铺测段,,indirect,22700,总干渠,3,30,18.5,10647,2.5,1.3,1.3,3,1,4,125,0,0,0.995,0.005,0.0004,
赵陵铺测段,土贤庄,,indirect,22700,总干渠,3,30,18.5,10647,2.5,1.1,1.1,3,1,4,150,0,0,0.995,0.005,0.0004,
土贤庄,梨园庄闸,,indirect,33347,总干渠,4,30,14,22423,2.5,2.1,2.1,3,1,4,150,0,0,0.995,0.008,0.0004,
梨园庄闸,紫城闸,,indirect,55770,总干渠,5,30,14,13384,2.5,2.4,2.4,3,1,4,145,0,0,0.995,0.008,0.0004,
紫城闸,白滩闸,,indirect,69154,总干渠,6,30,14,17807,2.5,2.3,2.3,3,1,4,145,0,0,0.995,0.008,0.0004,
白滩闸,军齐闸,,indirect,86961,总干渠,7,30,14,14906,2.5,2.5,2.5,3,1,4,120,0,0,0.995,0.008,0.0004,
军齐闸,和乐寺闸,,indirect,101867,总干渠,8,30,14,10491,2.5,2,2,3,1,4,120,0,0,0.995,0.008,0.0004,
和乐寺闸,大田退水,,indirect,112358,总干渠,9,30,14,22598,2.5,1.5,1.5,3,1,4,50,0,0,0.995,0.008,0.0004,
郭黄退水,-1,,direct,15520,军干渠,31,30,3.5,,1,1.5,1.5,3,1,4,3.978942997,0,0,0.995,0.008,0.0004,
朱庄退水,-1,,direct,47427,军干渠,32,30,3.5,,1,1.5,1.5,3,1,4,3.978942997,0,0,0.995,0.008,0.0004,
大田退水,-1,,direct,47427,总干渠,33,30,3.5,,1,1.5,1.5,3,1,4,3.978942997,0,0,0.995,0.008,0.0004,
三干首,三干尾,,indirect,23460,三干渠,34,30,3.5,35000,2.5,1.5,1.5,3,1,4,29,0,0,0.995,0.008,0.0004,
三干尾,-1,,direct,47427,三干渠,35,30,3.5,,1,1.5,1.5,3,1,4,29,0,0,0.995,0.008,0.0004,
一干尾,-1,,direct,47427,一干渠,37,30,3.5,,1,1.5,1.5,3,1,4,35,0,0,0.995,0.008,0.0004,
大田南干,大田南干尾,,indirect,23460,大田南干,38,30,3.5,35000,2.5,1.5,1.5,3,1,4,35,0,0,0.995,,,
大田南干尾,-1,,indirect,23460,大田南干,39,30,3.5,35000,2.5,1.5,1.5,3,1,4,35,0,0,0.995,,,
白滩闸,军干首,军齐闸,direct,41920,总干渠,57,,,,,,,,,2,60,0,0,,,,
白滩闸,leakage8,军齐闸,direct,26400,军干渠,85,,,,,,,,,6,5,0,0,,,,3895431.723
白滩闸,inflow8,军齐闸,direct,26400,军干渠,86,,,,,,,,,1,5,0,0,,,,3895431.723
大田南干,清河坊灌溉站,大田南干尾,direct,6695,大田南干,64,,,,,,,,,2,12,0,0,,,,
大田南干,箱涵灌溉站,大田南干尾,direct,4695,大田南干,66,,,,,,,,,2,5,0,0,,,,
杜童,leakage1,田庄,direct,26400,军干渠,78,,,,,,,,,6,5,0,0,,,,3895431.723
杜童,inflow1,田庄,direct,26400,军干渠,79,,,,,,,,,1,5,0,0,,,,3895431.723
和乐寺闸,大田南干,大田退水,direct,46860,总干渠,63,,,,,,,,,2,21,0,0,,,,
和乐寺闸,leakage11,大田退水,direct,26400,军干渠,77,,,,,,,,,6,5,0,0,,,,3895431.723
和乐寺闸,inflow11,大田退水,direct,26400,军干渠,87,,,,,,,,,1,5,0,0,,,,3895431.723
和乐寺闸,leakage10,大田退水,direct,26400,军干渠,87,,,,,,,,,6,5,0,0,,,,3895431.723
和乐寺闸,inflow10,大田退水,direct,26400,军干渠,86,,,,,,,,,1,5,0,0,,,,3895431.723
和乐寺闸,于科分干,大田退水,direct,26400,军干渠,87,,,,,,,,,2,5,0,0,,,,3895431.723
和乐寺闸,辰时分干,大田退水,direct,26400,军干渠,87,,,,,,,,,2,5,0,0,,,,3895431.723
黄壁庄,leakage0,杜童,direct,26400,军干渠,77,,,,,,,,,6,5,0,0,,,,3895431.723
黄壁庄,inflow0,杜童,direct,26400,军干渠,78,,,,,,,,,1,5,0,0,,,,3895431.723
军齐闸,东安分干,和乐寺闸,direct,44410,总干渠,59,,,,,,,,,2,4,0,0,,,,
军齐闸,四干首,和乐寺闸,direct,44440,总干渠,60,,,,,,,,,2,50,0,0,,,,
军齐闸,五干首,和乐寺闸,direct,46400,总干渠,61,,,,,,,,,2,8,0,0,,,,
军齐闸,leakage9,和乐寺闸,direct,26400,军干渠,86,,,,,,,,,6,5,0,0,,,,3895431.723
军齐闸,inflow9,和乐寺闸,direct,26400,军干渠,87,,,,,,,,,1,5,0,0,,,,3895431.723
梨园庄闸,一干首,紫城闸,direct,39160,总干渠,53,,,,,,,,,2,35,0,0,,,,
梨园庄闸,leakage6,紫城闸,direct,26400,军干渠,83,,,,,,,,,6,5,0,0,,,,3895431.723
梨园庄闸,inflow6,紫城闸,direct,26400,军干渠,84,,,,,,,,,1,5,0,0,,,,3895431.723
田庄,太平河,赵陵铺,direct,25550,总干渠,46,,,,,,,,,1,0,0,0,,,,
田庄,leakage2,赵陵铺,direct,26400,军干渠,79,,,,,,,,,6,5,0,0,,,,3895431.723
田庄,inflow2,赵陵铺,direct,26400,军干渠,80,,,,,,,,,1,5,0,0,,,,3895431.723
土贤庄,梨元庄退水,梨园庄闸,direct,35850,总干渠,49,,,,,,,,,3,3.978942997,0,0,,,,
土贤庄,leakage5,梨园庄闸,direct,26400,军干渠,82,,,,,,,,,6,5,0,0,,,,3895431.723
土贤庄,inflow5,梨园庄闸,direct,26400,军干渠,83,,,,,,,,,1,5,0,0,,,,3895431.723
赵陵铺,引江口,赵陵铺测段,direct,30730,总干渠,47,,,,,,,,,1,40,0,0,,,,
赵陵铺,leakage3,赵陵铺测段,direct,26400,军干渠,80,,,,,,,,,6,5,0,0,,,,3895431.723
赵陵铺,inflow3,赵陵铺测段,direct,26400,军干渠,81,,,,,,,,,1,5,0,0,,,,3895431.723
赵陵铺测段,leakage4,土贤庄,direct,26400,军干渠,81,,,,,,,,,6,5,0,0,,,,3895431.723
赵陵铺测段,inflow4,土贤庄,direct,26400,军干渠,82,,,,,,,,,1,5,0,0,,,,3895431.723
紫城闸,三干首,白滩闸,direct,40210,总干渠,56,,,,,,,,,2,29,0,0,,,,
紫城闸,leakage7,白滩闸,direct,26400,军干渠,84,,,,,,,,,6,5,0,0,,,,3895431.723
紫城闸,inflow7,白滩闸,direct,26400,军干渠,85,,,,,,,,,1,5,0,0,,,,3895431.723
